Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
112,4.99858,4.83458,6.35087e+131,7.14948e+131
113,4.99858,4.83458,6.35087e+131,7.14948e+131
114,4.99858,4.83458,6.35087e+131,7.14948e+131
115,4.99858,4.83458,6.35087e+131,7.14948e+131
116,4.99858,4.83458,6.35087e+131,7.14948e+131
117,4.99858,4.83458,6.35087e+131,7.14948e+131
118,4.99858,4.83458,6.35087e+131,7.14948e+131
119,4.99858,4.83458,6.35087e+131,7.14948e+131
120,4.99858,4.83458,6.35087e+131,7.14948e+131
121,4.99858,4.83458,6.35087e+131,7.14948e+131
122,4.99858,4.83458,6.35087e+131,7.14948e+131
123,4.99858,4.83458,6.35087e+131,7.14948e+131
124,4.99858,4.83458,6.35087e+131,7.14948e+131
125,4.99858,4.83458,6.35087e+131,7.14948e+131
126,4.99858,4.83458,6.35087e+131,7.14948e+131
127,4.99858,4.83458,6.35087e+131,7.14948e+131
128,4.99858,4.83458,6.35087e+131,7.14948e+131
129,4.99858,4.83458,6.35087e+131,7.14948e+131
130,4.99858,4.83458,6.35087e+131,7.14948e+131
131,4.99858,4.83458,6.35087e+131,7.14948e+131
132,4.99858,4.83458,6.35087e+131,7.14948e+131
133,4.99858,4.83458,6.35087e+131,7.14948e+131
134,4.99858,4.83458,6.35087e+131,7.14948e+131
135,4.99858,4.83458,6.35087e+131,7.14948e+131
136,4.99858,4.83458,6.35087e+131,7.14948e+131
137,4.99858,4.83458,6.35087e+131,7.14948e+131
138,4.99858,4.83458,6.35087e+131,7.14948e+131
139,4.99858,4.83458,6.35087e+131,7.14948e+131
140,4.99858,4.83458,6.35087e+131,7.14948e+131
141,4.99858,4.83458,6.35087e+131,7.14948e+131
142,4.99858,4.83458,6.35087e+131,7.14948e+131
143,4.99858,4.83458,6.35087e+131,7.14948e+131
144,4.99858,4.83458,6.35087e+131,7.14948e+131
145,4.99858,4.83458,6.35087e+131,7.14948e+131
146,4.99858,4.83458,6.35087e+131,7.14948e+131
147,4.99858,4.83458,6.35087e+131,7.14948e+131
148,4.99858,4.83458,6.35087e+131,7.14948e+131
149,4.99858,4.83458,6.35087e+131,7.14948e+131
150,4.99858,4.83458,6.35087e+131,7.14948e+131
151,4.99858,4.83458,6.35087e+131,7.14948e+131
152,4.99858,4.83458,6.35087e+131,7.14948e+131
153,4.99858,4.83458,6.35087e+131,7.14948e+131
154,4.99858,4.83458,6.35087e+131,7.14948e+131
155,4.99858,4.83458,6.35087e+131,7.14948e+131
156,4.99858,4.83458,6.35087e+131,7.14948e+131
157,4.99858,4.83458,6.35087e+131,7.14948e+131
158,4.99858,4.83458,6.35087e+131,7.14948e+131
159,4.99858,4.83458,6.35087e+131,7.14948e+131
160,4.99858,4.83458,6.35087e+131,7.14948e+131
161,4.99858,4.83458,6.35087e+131,7.14948e+131
162,4.99858,4.83458,6.35087e+131,7.14948e+131
163,4.99858,4.83458,6.35087e+131,7.14948e+131
164,4.99858,4.83458,6.35087e+131,7.14948e+131
165,4.99858,4.83458,6.35087e+131,7.14948e+131
166,4.99858,4.83458,6.35087e+131,7.14948e+131
167,4.99858,4.83458,6.35087e+131,7.14948e+131
168,4.99858,4.83458,6.35087e+131,7.14948e+131
169,4.99858,4.83458,6.35087e+131,7.14948e+131
170,4.99858,4.83458,6.35087e+131,7.14948e+131
171,4.99858,4.83458,6.35087e+131,7.14948e+131
172,4.99858,4.83458,6.35087e+131,7.14948e+131
173,4.99858,4.83458,6.35087e+131,7.14948e+131
174,4.99858,4.83458,6.35087e+131,7.14948e+131
175,4.99858,4.83458,6.35087e+131,7.14948e+131
176,4.99858,4.83458,6.35087e+131,7.14948e+131
177,4.99858,4.83458,6.35087e+131,7.14948e+131
178,4.99858,4.83458,6.35087e+131,7.14948e+131
179,4.99858,4.83458,6.35087e+131,7.14948e+131
180,4.99858,4.83458,6.35087e+131,7.14948e+131
181,4.99858,4.83458,6.35087e+131,7.14948e+131
182,4.99858,4.83458,6.35087e+131,7.14948e+131
183,4.99858,4.83458,6.35087e+131,7.14948e+131
184,4.99858,4.83458,6.35087e+131,7.14948e+131
185,4.99858,4.83458,6.35087e+131,7.14948e+131
186,4.99858,4.83458,6.35087e+131,7.14948e+131
187,4.99858,4.83458,6.35087e+131,7.14948e+131
188,4.99858,4.83458,6.35087e+131,7.14948e+131
189,4.99858,4.83458,6.35087e+131,7.14948e+131
190,4.99858,4.83458,6.35087e+131,7.14948e+131
191,4.99858,4.83458,6.35087e+131,7.14948e+131
192,4.99858,4.83458,6.35087e+131,7.14948e+131
193,4.99858,4.83458,6.35087e+131,7.14948e+131
194,4.99858,4.83458,6.35087e+131,7.14948e+131
195,4.99858,4.83458,6.35087e+131,7.14948e+131
196,4.99858,4.83458,6.35087e+131,7.14948e+131
197,4.99858,4.83458,6.35087e+131,7.14948e+131
198,4.99858,4.83458,6.35087e+131,7.14948e+131
199,4.99858,4.83458,6.35087e+131,7.14948e+131
200,4.99858,4.83458,6.35087e+131,7.14948e+131

Training Complete!!! - > Elapsed Epochs: 200 Validation Set Accuracy: 4.71718 Validation Set MSE: 6.09808e+131
